"fecha";"Run Fondo";"serie fondo";"intervalo_de_tiempo";"rentabilidad_acumulada"
2023-03-16;"8976";APV-AP;"6M";0.05368742388476133
2023-03-16;"8976";APV-AP;"1Y";0.09585614079251736
2023-03-16;"8976";APV-AP;YTD;0.02235466231772887
2023-03-17;"8976";APV-AP;"1M";0.008130785847749511
2023-03-17;"8976";APV-AP;"3M";0.026543253772925546
2023-03-17;"8976";APV-AP;"6M";0.053703337433205656
2023-03-17;"8976";APV-AP;"1Y";0.09602460613973185
2023-03-17;"8976";APV-AP;YTD;0.02264993137139193
2023-03-18;"8976";APV-AP;"1M";0.008127776116712448
2023-03-18;"8976";APV-AP;"3M";0.026540417726751198
2023-03-18;"8976";APV-AP;"6M";0.05371942720637768
2023-03-18;"8976";APV-AP;"1Y";0.09619332253586155
2023-03-18;"8976";APV-AP;YTD;0.022945477153315297
2023-03-19;"8976";APV-AP;"1M";0.008124678000562158
2023-03-19;"8976";APV-AP;"3M";0.026537303258969525
2023-03-19;"8976";APV-AP;"6M";0.05373551838485224
2023-03-19;"8976";APV-AP;"1Y";0.09636179570704817
2023-03-19;"8976";APV-AP;YTD;0.023240838449731793
2023-03-20;"8976";APV-AP;"1M";0.00812176266071507
2023-03-20;"8976";APV-AP;"3M";0.02653427821095944
2023-03-20;"8976";APV-AP;"6M";0.05374998433066991
2023-03-20;"8976";APV-AP;"1Y";0.09653051985725969
2023-03-20;"8976";APV-AP;YTD;0.023536476474408596
2023-03-21;"8976";APV-AP;"1M";0.008121507348566537
2023-03-21;"8976";APV-AP;"3M";0.026530884984030223
2023-03-21;"8976";APV-AP;"6M";0.0537639625171209
2023-03-21;"8976";APV-AP;"1Y";0.09669869486824245
2023-03-21;"8976";APV-AP;YTD;0.023831745528071657
2023-03-22;"8976";APV-AP;"1M";0.008121612438441117
2023-03-22;"8976";APV-AP;"3M";0.026528138496118236
2023-03-22;"8976";APV-AP;"6M";0.05377509169552441
2023-03-22;"8976";APV-AP;"1Y";0.09686772317410708
2023-03-22;"8976";APV-AP;YTD;0.02412775252376198
2023-03-23;"8976";APV-AP;"1M";0.008122174291061546
2023-03-23;"8976";APV-AP;"3M";0.026525296274520382
2023-03-23;"8976";APV-AP;"6M";0.053786109583437325
2023-03-23;"8976";APV-AP;"1Y";0.09703669627892775
2023-03-23;"8976";APV-AP;YTD;0.02442385176220596
2023-03-24;"8976";APV-AP;"1M";0.008122643596653933
2023-03-24;"8976";APV-AP;"3M";0.02652226354881182
2023-03-24;"8976";APV-AP;"6M";0.053797116230970055
2023-03-24;"8976";APV-AP;"1Y";0.09720572252350856
2023-03-24;"8976";APV-AP;YTD;0.024720043243403156
2023-03-25;"8976";APV-AP;"1M";0.008123293339525217
2023-03-25;"8976";APV-AP;"3M";0.026519699383423134
2023-03-25;"8976";APV-AP;"6M";0.05380850118518632
2023-03-25;"8976";APV-AP;"1Y";0.09737499939513006
2023-03-25;"8976";APV-AP;YTD;0.025016511452860435
2023-03-26;"8976";APV-AP;"1M";0.008122485672710456
2023-03-26;"8976";APV-AP;"3M";0.02651639790499738
2023-03-26;"8976";APV-AP;"6M";0.05381902143234707
2023-03-26;"8976";APV-AP;"1Y";0.097543332267918
2023-03-26;"8976";APV-AP;YTD;0.025312241720290674
2023-03-27;"8976";APV-AP;"1M";0.008122949326588857
2023-03-27;"8976";APV-AP;"3M";0.02651401669756015
2023-03-27;"8976";APV-AP;"6M";0.05383057331119345
2023-03-27;"8976";APV-AP;"1Y";0.09771291277819327
2023-03-27;"8976";APV-AP;YTD;0.025609078900761695
2023-03-28;"8976";APV-AP;"1M";0.008123135626796785
2023-03-28;"8976";APV-AP;"3M";0.026511911323796822
2023-03-28;"8976";APV-AP;"6M";0.053842397920175644
2023-03-28;"8976";APV-AP;"1Y";0.0978827340019992
2023-03-28;"8976";APV-AP;YTD;0.02590628505224646
2023-03-29;"8976";APV-AP;"1M";0.008415008693194448
2023-03-29;"8976";APV-AP;"3M";0.026502803106572603
2023-03-29;"8976";APV-AP;"6M";0.05385402648865956
2023-03-29;"8976";APV-AP;"1Y";0.0980524203430444
2023-03-29;"8976";APV-AP;YTD;0.026203306718224573
2023-03-30;"8976";APV-AP;"1M";0.008706791115782764
2023-03-30;"8976";APV-AP;"3M";0.02650023614144903
2023-03-30;"8976";APV-AP;"6M";0.0538652544732412
2023-03-30;"8976";APV-AP;"1Y";0.09822185383178494
2023-03-30;"8976";APV-AP;YTD;0.02650023614144903
2023-03-31;"8976";APV-AP;"1M";0.008998936113608469
